idea_id,symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
idea-1,GBPUSD,SELL,1.15,2026-07-30 07:40:00+00:00,1.33403,1.3341961182209305,1.3339377635581386,2026-07-30 07:40:00+00:00,1.3343800000000001,SL_GAP,False,-40.2500,5.7500,-46.0000,-1.8508
idea-2,GBPUSD,BUY,0.56,2026-08-04 07:30:00+00:00,1.3436400000000002,1.3432447178825064,1.343710564234987,2026-08-04 07:34:00+00:00,1.343710564234987,TP,False,3.9516,2.8000,1.1516,0.0462
idea-3,GBPUSD,BUY,0.7,2026-08-05 07:25:00+00:00,1.3462100000000001,1.3459059016052515,1.3460981967894974,2026-08-05 07:25:00+00:00,1.3458059016052515,SL,True,-28.2869,3.5000,-31.7869,-1.2824
idea-4,EURUSD,BUY,0.44,2026-08-05 08:30:00+00:00,1.15454,1.1540307516212798,1.1549884967574404,2026-08-05 08:38:00+00:00,1.1539307516212798,SL,False,-26.8069,2.2000,-29.0069,-1.1788
idea-5,EURUSD,BUY,0.8,2026-08-07 09:40:00+00:00,1.15279,1.1525300520544763,1.1527398958910475,2026-08-07 09:40:00+00:00,1.1527398958910475,TP,False,-4.0083,4.0000,-8.0083,-0.3230
idea-6,GBPUSD,BUY,0.54,2026-08-10 07:20:00+00:00,1.3497100000000002,1.3493030815400124,1.3497738369199754,2026-08-10 07:20:00+00:00,1.3492030815400124,SL,False,-27.3736,2.7000,-30.0736,-1.2189
idea-7,EURUSD,BUY,0.5,2026-08-10 08:00:00+00:00,1.1562999999999999,1.1558528719235897,1.1565642561528209,2026-08-10 09:36:00+00:00,1.1557528719235897,SL,False,-27.3564,2.5000,-29.8564,-1.2012
idea-8,GBPUSD,BUY,0.31,2026-08-12 09:05:00+00:00,1.3517400000000002,1.3509861834136212,1.3524676331727576,2026-08-12 09:23:00+00:00,1.3524676331727576,TP,False,22.5566,1.5500,21.0066,0.8430
idea-9,GBPUSD,BUY,0.47,2026-08-17 09:40:00+00:00,1.35616,1.3556848496603997,1.3563603006792004,2026-08-17 10:00:00+00:00,1.3555848496603997,SL,False,-27.0321,2.3500,-29.3821,-1.1904
idea-10,GBPUSD,BUY,0.52,2026-08-21 08:50:00+00:00,1.36583,1.3654007249736415,1.3659685500527172,2026-08-21 08:51:00+00:00,1.3659685500527172,TP,False,7.2046,2.6000,4.6046,0.1848
idea-12,EURUSD,BUY,0.5,2026-08-25 09:15:00+00:00,1.16748,1.1670313843192266,1.167777231361547,2026-08-25 09:17:00+00:00,1.1669313843192266,SL,False,-27.4308,2.5000,-29.9308,-1.2006
idea-11,GBPUSD,BUY,0.25,2026-08-25 09:05:00+00:00,1.3648500000000001,1.3639103975908022,1.3660092048183958,2026-08-25 10:11:00+00:00,1.3638103975908022,SL,False,-25.9901,1.2500,-27.2401,-1.1011
idea-13,GBPUSD,SELL,0.85,2026-08-27 08:45:00+00:00,1.35834,1.3585839681013485,1.3581820637973028,2026-08-27 08:45:00+00:00,1.3586900000000002,SL_GAP,False,-29.7500,4.2500,-34.0000,-1.3607
idea-14,GBPUSD,SELL,1.22,2026-08-28 07:35:00+00:00,1.35862,1.3587734652286205,1.358463069542759,2026-08-28 07:35:00+00:00,1.35897,SL_GAP,False,-42.7000,6.1000,-48.8000,-1.9659
idea-15,EURUSD,SELL,0.89,2026-09-02 07:30:00+00:00,1.15724,1.157469547563804,1.1570809048723922,2026-09-02 07:30:00+00:00,1.157569547563804,SL,False,-29.3297,4.4500,-33.7797,-1.3577
idea-16,GBPUSD,SELL,0.33,2026-09-02 09:55:00+00:00,1.34877,1.3494678815353467,1.3475842369293067,2026-09-02 12:58:00+00:00,1.3475842369293067,TP,False,39.1302,1.6500,37.4802,1.5186
idea-17,GBPUSD,SELL,0.45,2026-09-04 10:00:00+00:00,1.35219,1.352690002655658,1.3514899946886838,2026-09-04 10:16:00+00:00,1.352790002655658,SL,False,-27.0001,2.2500,-29.2501,-1.1818
idea-18,GBPUSD,SELL,0.25,2026-09-08 08:10:00+00:00,1.35265,1.3535814551712442,1.351177089657512,2026-09-08 10:20:00+00:00,1.3536814551712442,SL,False,-25.7864,1.2500,-27.0364,-1.1019
idea-19,EURUSD,SELL,0.49,2026-09-11 09:05:00+00:00,1.15979,1.1602485288508402,1.1591429422983197,2026-09-11 09:23:00+00:00,1.1603485288508402,SL,False,-27.3679,2.4500,-29.8179,-1.1966
idea-20,EURUSD,SELL,0.75,2026-09-15 09:00:00+00:00,1.15323,1.1535094366102054,1.1529411267795888,2026-09-15 09:00:00+00:00,1.1536094366102054,SL,False,-28.4577,3.7500,-32.2077,-1.3035
