symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,risk_usd_at_entry,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
EURUSD,BUY,0.22,2026-07-23 05:00:00+00:00,1.14337,1.1422605766222114,1.1462582701333657,2026-07-23 07:04:00+00:00,1.1422605766222114,SL,24.4073,-24.4073,1.1,-25.5073,-1.0451
EURUSD,SELL,0.18,2026-07-23 12:00:00+00:00,1.13944,1.1408003036458343,1.1354790890624973,2026-07-27 00:23:00+00:00,1.1408003036458343,SL,24.4855,-24.4855,0.9,-25.3855,-1.0368
EURUSD,BUY,0.16,2026-07-27 06:00:00+00:00,1.14071,1.1392159645926496,1.144832106222051,2026-07-27 11:07:00+00:00,1.1392159645926496,SL,23.9046,-23.9046,0.8,-24.7046,-1.0335
EURUSD,SELL,0.16,2026-07-27 14:00:00+00:00,1.13741,1.1389664224751017,1.1327807325746952,2026-07-28 15:10:00+00:00,1.1389664224751017,SL,24.9028,-24.9028,0.8,-25.7028,-1.0321
EURUSD,BUY,0.17,2026-07-28 23:00:00+00:00,1.13862,1.1372266280835341,1.1423601157493972,2026-07-29 18:00:00+00:00,1.1423601157493972,TP,23.6873,63.582,0.85,62.732,2.6483
GBPUSD,BUY,0.08,2026-07-29 20:00:00+00:00,1.33477,1.3318093753990006,1.342971873802998,2026-07-30 14:00:00+00:00,1.342971873802998,TP,23.685,65.615,0.4,65.215,2.7534
GBPUSD,SELL,0.13,2026-08-04 03:00:00+00:00,1.34267,1.3444581086742284,1.3373456739773153,2026-08-04 10:07:00+00:00,1.3444581086742284,SL,23.2454,-23.2454,0.65,-23.8954,-1.028
EURUSD,SELL,0.2,2026-08-06 20:00:00+00:00,1.1523,1.1535194600302423,1.1486816199092726,2026-08-07 12:00:00+00:00,1.1535194600302423,SL,24.3892,-24.3892,1.0,-25.3892,-1.041
GBPUSD,BUY,0.14,2026-08-04 13:00:00+00:00,1.34444,1.3426595508738635,1.3491413473784095,2026-08-07 12:34:00+00:00,1.3491413473784095,TP,24.9263,65.8189,0.7,65.1189,2.6125
EURUSD,BUY,0.15,2026-08-07 14:00:00+00:00,1.15588,1.154213934436495,1.1603581966905154,2026-08-10 17:20:00+00:00,1.154213934436495,SL,24.991,-24.991,0.75,-25.741,-1.03
EURUSD,SELL,0.27,2026-08-11 06:00:00+00:00,1.15414,1.1550431184571528,1.1513106446285413,2026-08-12 09:24:00+00:00,1.1550431184571528,SL,24.3842,-24.3842,1.35,-25.7342,-1.0554
EURUSD,BUY,0.17,2026-08-12 15:00:00+00:00,1.15438,1.1529510476592917,1.1583468570221254,2026-08-12 16:33:00+00:00,1.1529510476592917,SL,24.2922,-24.2922,0.85,-25.1422,-1.035
