utc_time,equity,balance
2015-01-01 18:00:00+00:00,10000.0000,10000.0000
2015-01-02 21:22:00+00:00,9999.1450,9999.6750
2015-01-05 21:22:00+00:00,10093.6534,9999.3934
2015-01-06 21:22:00+00:00,10102.1339,10012.6839
2015-01-07 21:22:00+00:00,10125.6959,10012.4959
2015-01-08 21:22:00+00:00,10120.2069,10120.2069
2015-01-09 21:22:00+00:00,10095.7040,10095.7040
2015-01-12 21:22:00+00:00,10048.0688,10048.0688
2015-01-13 21:22:00+00:00,10028.8886,10025.4686
2015-01-14 21:22:00+00:00,9940.3429,9951.5829
2015-01-15 21:22:00+00:00,9974.8093,9934.1293
2015-01-16 21:22:00+00:00,9997.3529,9934.1529
2015-01-19 21:22:00+00:00,9970.1951,9976.5551
2015-01-20 21:22:00+00:00,9937.0695,9934.2695
2015-01-21 21:22:00+00:00,9924.9790,9928.3490
2015-01-22 21:22:00+00:00,9910.7575,9875.0275
2015-01-23 21:22:00+00:00,9949.8652,9875.0452
2015-01-26 21:22:00+00:00,9964.6506,9941.9006
2015-01-27 21:22:00+00:00,10019.7616,9941.5616
2015-01-28 21:22:00+00:00,10000.9776,9998.8976
2015-01-29 21:22:00+00:00,10016.2834,9987.9834
2015-01-30 21:22:00+00:00,9982.8121,9986.0521
2015-02-02 21:22:00+00:00,9941.7894,9941.7894
2015-02-03 21:22:00+00:00,9969.2553,9920.1553
2015-02-04 21:22:00+00:00,9986.6163,9919.8163
2015-02-05 21:22:00+00:00,10024.1398,9894.9898
2015-02-06 21:22:00+00:00,10044.1358,10016.1758
2015-02-09 21:23:00+00:00,10013.8681,10013.8681
2015-02-10 21:23:00+00:00,9985.4882,9990.9382
2015-02-11 21:23:00+00:00,9956.0169,9960.4669
2015-02-12 21:23:00+00:00,9998.0870,9935.7470
2015-02-13 21:23:00+00:00,9987.8778,9957.1978
2015-02-16 21:23:00+00:00,9996.1804,9976.4704
2015-02-17 21:23:00+00:00,9919.0635,9919.0635
2015-02-18 21:23:00+00:00,9894.5099,9894.2699
2015-02-19 21:23:00+00:00,9886.3895,9885.5495
2015-02-20 21:23:00+00:00,9889.6639,9885.2239
2015-02-23 21:23:00+00:00,9874.6229,9872.7729
2015-02-24 21:23:00+00:00,9864.5089,9864.5089
2015-02-25 21:24:00+00:00,9884.7039,9864.3339
2015-02-26 21:24:00+00:00,9961.2601,9874.6001
2015-02-27 21:24:00+00:00,9916.9657,9924.4157
2015-03-02 21:24:00+00:00,9891.5443,9880.3443
2015-03-03 21:24:00+00:00,9831.9078,9831.9078
2015-03-04 21:24:00+00:00,9904.5420,9808.4920
2015-03-05 21:24:00+00:00,9962.3440,9807.8440
2015-03-06 21:25:00+00:00,10240.3580,9807.6280
2015-03-09 21:25:00+00:00,10213.1310,10213.1310
2015-03-10 21:26:00+00:00,10309.4160,10212.9560
2015-03-11 21:26:00+00:00,10410.5373,10212.9973
2015-03-12 21:26:00+00:00,10402.3362,10399.4862
2015-03-13 21:26:00+00:00,10426.0143,10379.8143
2015-03-16 21:26:00+00:00,10386.7371,10399.4571
2015-03-17 21:26:00+00:00,10390.1397,10384.3897
2015-03-18 21:26:00+00:00,10506.5339,10361.7339
2015-03-19 21:26:00+00:00,10385.3799,10393.1999
2015-03-20 21:26:00+00:00,10409.0965,10368.1365
2015-03-23 21:26:00+00:00,10412.7867,10395.8367
2015-03-24 21:26:00+00:00,10391.3630,10379.1530
2015-03-25 21:26:00+00:00,10346.4880,10353.5280
2015-03-26 21:26:00+00:00,10330.6408,10339.4308
2015-03-27 21:26:00+00:00,10302.6211,10313.9011
2015-03-30 21:26:00+00:00,10262.4281,10260.3881
2015-03-31 21:26:00+00:00,10229.6137,10236.3637
2015-04-01 21:26:00+00:00,10170.3828,10170.3828
2015-04-02 21:26:00+00:00,10184.4846,10148.7346
2015-04-03 21:26:00+00:00,10228.3816,10148.1816
2015-04-06 21:28:00+00:00,10213.6036,10213.1536
2015-04-07 21:28:00+00:00,10315.9951,10212.9951
2015-04-08 21:28:00+00:00,10248.7836,10247.8236
2015-04-09 21:28:00+00:00,10299.4144,10247.8944
2015-04-10 21:28:00+00:00,10325.4380,10247.9180
2015-04-13 21:28:00+00:00,10333.9816,10247.9416
2015-04-14 21:28:00+00:00,10331.5452,10308.7852
2015-04-15 21:30:00+00:00,10316.4966,10314.1566
2015-04-16 21:30:00+00:00,10343.9664,10313.5464
2015-04-17 21:30:00+00:00,10352.3730,10313.3430
2015-04-20 21:30:00+00:00,10338.1246,10342.3646
2015-04-21 21:30:00+00:00,10315.0632,10319.4632
2015-04-22 21:30:00+00:00,10371.0242,10319.1242
2015-04-23 21:30:00+00:00,10361.8448,10324.0448
2015-04-24 21:30:00+00:00,10359.0288,10325.3288
2015-04-27 21:30:00+00:00,10322.6268,10315.5868
2015-04-28 21:30:00+00:00,10352.4606,10315.5906
2015-04-29 21:30:00+00:00,10382.2614,10324.9414
2015-04-30 21:30:00+00:00,10350.4953,10353.5753
2015-05-01 21:30:00+00:00,10374.3113,10334.9213
2015-05-04 21:30:00+00:00,10385.8985,10334.8085
2015-05-05 21:30:00+00:00,10381.2107,10374.0907
2015-05-06 21:30:00+00:00,10408.8195,10373.8195
2015-05-07 21:30:00+00:00,10379.0663,10368.5263
2015-05-08 21:30:00+00:00,10440.6065,10381.8065
2015-05-11 21:31:00+00:00,10483.7431,10381.5031
2015-05-12 21:31:00+00:00,10457.9233,10468.0733
2015-05-13 21:31:00+00:00,10506.9791,10446.2791
2015-05-14 21:31:00+00:00,10536.9701,10444.6201
2015-05-15 21:31:00+00:00,10479.5873,10477.4673
2015-05-18 21:37:00+00:00,10482.2899,10468.0399
2015-05-19 21:37:00+00:00,10534.1619,10476.6519
2015-05-20 21:37:00+00:00,10501.8090,10467.8490
2015-05-21 21:37:00+00:00,10485.0798,10486.3598
2015-05-22 21:37:00+00:00,10517.7236,10444.7236
2015-05-25 21:37:00+00:00,10508.7606,10508.7606
2015-05-26 21:37:00+00:00,10612.7706,10508.3606
2015-05-27 21:37:00+00:00,10538.4991,10530.8991
2015-05-28 21:37:00+00:00,10497.8877,10509.1277
2015-05-29 21:37:00+00:00,10458.8152,10460.3652
2015-06-01 21:37:00+00:00,10421.5139,10411.3139
2015-06-02 21:37:00+00:00,10456.8835,10404.6435
2015-06-03 21:37:00+00:00,10459.2861,10444.2261
2015-06-04 21:37:00+00:00,10409.3410,10409.3410
2015-06-05 21:37:00+00:00,10430.9710,10395.3310
2015-06-08 21:38:00+00:00,10456.5904,10420.7404
2015-06-09 21:38:00+00:00,10418.3654,10418.1854
2015-06-10 21:38:00+00:00,10461.6020,10417.9820
2015-06-11 21:38:00+00:00,10425.9168,10441.0368
2015-06-12 21:38:00+00:00,10403.6639,10404.8639
2015-06-15 21:39:00+00:00,10395.0127,10380.9627
2015-06-16 21:40:00+00:00,10357.6937,10365.6737
2015-06-17 21:40:00+00:00,10397.4363,10310.3863
2015-06-18 21:40:00+00:00,10426.9693,10309.3693
2015-06-19 21:40:00+00:00,10394.7973,10394.7973
2015-06-22 21:40:00+00:00,10344.4845,10347.5345
2015-06-23 21:40:00+00:00,10393.4965,10347.3465
2015-06-24 21:40:00+00:00,10345.7968,10355.4768
