status,symbol,direction,time_utc,price_or_na,reason_or_outcome
ACCEPTED,GBPUSD,SELL,2026-07-30 07:40:00+00:00,1.33408,CLOSED_SL_GAP
ACCEPTED,GBPUSD,BUY,2026-08-04 07:30:00+00:00,1.34359,CLOSED_TP
ACCEPTED,GBPUSD,BUY,2026-08-05 07:25:00+00:00,1.34616,CLOSED_SL
ACCEPTED,EURUSD,BUY,2026-08-05 08:30:00+00:00,1.15449,CLOSED_SL
ACCEPTED,EURUSD,BUY,2026-08-07 09:40:00+00:00,1.15274,CLOSED_TP
ACCEPTED,GBPUSD,BUY,2026-08-10 07:20:00+00:00,1.34966,CLOSED_SL
ACCEPTED,EURUSD,BUY,2026-08-10 08:00:00+00:00,1.15625,CLOSED_SL
ACCEPTED,GBPUSD,BUY,2026-08-12 09:05:00+00:00,1.35169,CLOSED_TP
ACCEPTED,GBPUSD,BUY,2026-08-17 09:40:00+00:00,1.35611,CLOSED_SL
ACCEPTED,GBPUSD,BUY,2026-08-21 08:50:00+00:00,1.36578,CLOSED_TP
ACCEPTED,EURUSD,BUY,2026-08-25 09:15:00+00:00,1.16743,CLOSED_SL
ACCEPTED,GBPUSD,BUY,2026-08-25 09:05:00+00:00,1.36480,CLOSED_SL
ACCEPTED,GBPUSD,SELL,2026-08-27 08:45:00+00:00,1.35839,CLOSED_SL_GAP
ACCEPTED,GBPUSD,SELL,2026-08-28 07:35:00+00:00,1.35867,CLOSED_SL_GAP
ACCEPTED,EURUSD,SELL,2026-09-02 07:30:00+00:00,1.15729,CLOSED_SL
ACCEPTED,GBPUSD,SELL,2026-09-02 09:55:00+00:00,1.34882,CLOSED_TP
ACCEPTED,GBPUSD,SELL,2026-09-04 10:00:00+00:00,1.35224,CLOSED_SL
ACCEPTED,GBPUSD,SELL,2026-09-08 08:10:00+00:00,1.35270,CLOSED_SL
ACCEPTED,EURUSD,SELL,2026-09-11 09:05:00+00:00,1.15984,CLOSED_SL
ACCEPTED,EURUSD,SELL,2026-09-15 09:00:00+00:00,1.15328,CLOSED_SL
