utc_time,equity,balance
2015-01-01 18:00:00+00:00,10000.0000,10000.0000
2015-01-02 21:22:00+00:00,9996.9450,9999.6750
2015-01-05 21:22:00+00:00,10091.4534,9999.3934
2015-01-06 21:22:00+00:00,10099.5839,10011.1339
2015-01-07 21:22:00+00:00,10123.1459,10010.9459
2015-01-08 21:22:00+00:00,10117.6569,10117.6569
2015-01-09 21:22:00+00:00,10091.4769,10091.4769
2015-01-12 21:22:00+00:00,10043.2917,10043.2917
2015-01-13 21:22:00+00:00,10022.9115,10020.3915
2015-01-14 21:22:00+00:00,9932.1159,9944.1559
2015-01-15 21:22:00+00:00,9965.9823,9925.9023
2015-01-16 21:22:00+00:00,9988.5259,9925.9259
2015-01-19 21:22:00+00:00,9959.7681,9967.7281
2015-01-20 21:22:00+00:00,9925.6424,9923.5924
2015-01-21 21:22:00+00:00,9911.6519,9916.9219
2015-01-22 21:22:00+00:00,9893.3077,9858.0277
2015-01-23 21:22:00+00:00,9932.4154,9858.0454
2015-01-26 21:22:00+00:00,9946.2008,9924.4508
2015-01-27 21:22:00+00:00,10001.3118,9924.1118
2015-01-28 21:22:00+00:00,9981.9278,9980.4478
2015-01-29 21:22:00+00:00,9996.2336,9968.9336
2015-01-30 21:22:00+00:00,9961.9623,9965.8023
2015-02-02 21:22:00+00:00,9921.0896,9921.0896
2015-02-03 21:22:00+00:00,9947.3055,9899.2055
2015-02-04 21:22:00+00:00,9964.6665,9898.8665
2015-02-05 21:22:00+00:00,10001.9900,9873.8400
2015-02-06 21:22:00+00:00,10021.3860,9994.0260
2015-02-09 21:23:00+00:00,9990.8683,9990.8683
2015-02-10 21:23:00+00:00,9961.1884,9967.6384
2015-02-11 21:23:00+00:00,9930.4171,9935.8671
2015-02-12 21:23:00+00:00,9971.6872,9910.8972
2015-02-13 21:23:00+00:00,9961.4780,9931.5980
2015-02-16 21:23:00+00:00,9967.5306,9950.0706
2015-02-17 21:23:00+00:00,9889.8637,9889.8637
2015-02-18 21:23:00+00:00,9863.7601,9864.7201
2015-02-19 21:23:00+00:00,9808.1049,9808.1049
2015-02-20 21:23:00+00:00,9753.4005,9760.8405
2015-02-23 21:23:00+00:00,9722.3379,9721.4879
2015-02-24 21:23:00+00:00,9712.2239,9712.2239
2015-02-25 21:24:00+00:00,9708.1209,9689.1509
2015-02-26 21:24:00+00:00,9783.6271,9698.0171
2015-02-27 21:24:00+00:00,9738.0327,9746.4827
2015-03-02 21:24:00+00:00,9711.0613,9701.2613
2015-03-03 21:24:00+00:00,9650.6748,9650.6748
2015-03-04 21:24:00+00:00,9720.2590,9626.8090
2015-03-05 21:24:00+00:00,9778.0610,9626.1610
2015-03-06 21:25:00+00:00,10056.0750,9625.9450
2015-03-09 21:25:00+00:00,10028.8480,10028.8480
2015-03-10 21:26:00+00:00,10124.0830,10028.6730
2015-03-11 21:26:00+00:00,10225.2043,10028.7143
2015-03-12 21:26:00+00:00,10215.9532,10214.1532
2015-03-13 21:26:00+00:00,10239.9313,10194.3313
2015-03-16 21:26:00+00:00,10190.1841,10213.0241
2015-03-17 21:26:00+00:00,10180.4214,10175.6714
2015-03-18 21:26:00+00:00,10296.8155,10152.7655
2015-03-19 21:26:00+00:00,10174.9615,10183.4815
2015-03-20 21:26:00+00:00,10198.0781,10157.7181
2015-03-23 21:26:00+00:00,10201.3183,10184.8183
2015-03-24 21:26:00+00:00,10179.1447,10167.5347
2015-03-25 21:26:00+00:00,10133.4696,10141.1096
2015-03-26 21:26:00+00:00,10108.7947,10118.6347
2015-03-27 21:26:00+00:00,10079.8251,10092.3551
2015-03-30 21:26:00+00:00,10039.1348,10037.8948
2015-03-31 21:26:00+00:00,10006.3204,10013.6704
2015-04-01 21:26:00+00:00,9947.0396,9947.0396
2015-04-02 21:26:00+00:00,9960.1414,9925.1414
2015-04-03 21:26:00+00:00,10004.0384,9924.5884
2015-04-06 21:28:00+00:00,9987.5104,9988.8104
2015-04-07 21:28:00+00:00,10089.9019,9988.6519
2015-04-08 21:28:00+00:00,10021.8404,10021.4804
2015-04-09 21:28:00+00:00,10072.4712,10021.5512
2015-04-10 21:28:00+00:00,10098.4948,10021.5748
2015-04-13 21:28:00+00:00,10107.0384,10021.5984
2015-04-14 21:28:00+00:00,10103.2020,10081.8420
2015-04-15 21:30:00+00:00,10087.5534,10085.8134
2015-04-16 21:30:00+00:00,10095.9616,10066.1416
2015-04-17 21:30:00+00:00,10104.3682,10065.9382
2015-04-20 21:30:00+00:00,10089.5198,10094.3598
2015-04-21 21:30:00+00:00,10053.6384,10069.5584
2015-04-22 21:30:00+00:00,10106.2370,10068.7770
2015-04-23 21:30:00+00:00,10086.7806,10049.7306
2015-04-24 21:30:00+00:00,10082.7647,10050.0647
2015-04-27 21:30:00+00:00,10045.3127,10039.0727
2015-04-28 21:30:00+00:00,10073.5965,10038.2765
2015-04-29 21:30:00+00:00,10103.3973,10046.8773
2015-04-30 21:30:00+00:00,10070.5812,10074.5612
2015-05-01 21:30:00+00:00,10093.7972,10055.0072
2015-05-04 21:30:00+00:00,10105.3844,10054.8944
2015-05-05 21:30:00+00:00,10099.8966,10093.5766
2015-05-06 21:30:00+00:00,10127.5054,10093.3054
2015-05-07 21:30:00+00:00,10096.3522,10087.0122
2015-05-08 21:30:00+00:00,10157.8924,10099.6924
2015-05-11 21:31:00+00:00,10200.4290,10099.3890
2015-05-12 21:31:00+00:00,10173.8592,10184.7592
2015-05-13 21:31:00+00:00,10222.7150,10162.7650
2015-05-14 21:31:00+00:00,10252.7060,10161.1060
2015-05-15 21:31:00+00:00,10194.2232,10192.7032
2015-05-18 21:37:00+00:00,10195.9258,10182.6758
2015-05-19 21:37:00+00:00,10246.1978,10190.2878
2015-05-20 21:37:00+00:00,10213.6449,10180.2849
2015-05-21 21:37:00+00:00,10196.1157,10198.1957
2015-05-22 21:37:00+00:00,10226.7595,10154.7595
2015-05-25 21:37:00+00:00,10217.7965,10217.7965
2015-05-26 21:37:00+00:00,10318.9565,10217.3965
2015-05-27 21:37:00+00:00,10243.1349,10236.5349
2015-05-28 21:37:00+00:00,10200.8736,10213.5136
2015-05-29 21:37:00+00:00,10160.8511,10163.1511
2015-06-01 21:37:00+00:00,10122.9998,10113.5998
2015-06-02 21:37:00+00:00,10157.7694,10106.1294
2015-06-03 21:37:00+00:00,10159.7220,10145.1120
2015-06-04 21:37:00+00:00,10109.4268,10109.4268
2015-06-05 21:37:00+00:00,10129.4068,10094.9668
2015-06-08 21:38:00+00:00,10154.5762,10119.1762
2015-06-09 21:38:00+00:00,10115.6013,10116.0213
2015-06-10 21:38:00+00:00,10158.8379,10115.8179
2015-06-11 21:38:00+00:00,10121.7527,10138.2727
2015-06-12 21:38:00+00:00,10099.2998,10101.2998
2015-06-15 21:39:00+00:00,10089.3086,10077.0986
2015-06-16 21:40:00+00:00,10037.4472,10047.0272
2015-06-17 21:40:00+00:00,10076.5897,9990.5397
2015-06-18 21:40:00+00:00,10106.1227,9989.5227
2015-06-19 21:40:00+00:00,10073.7008,10073.7008
2015-06-22 21:40:00+00:00,10021.6879,10025.7379
2015-06-23 21:40:00+00:00,10070.6999,10025.5499
2015-06-24 21:40:00+00:00,10021.9003,10032.3803
2015-06-25 21:42:00+00:00,10016.0978,10010.8478
2015-06-26 21:44:00+00:00,10021.6538,10010.3338
2015-06-29 21:44:00+00:00,10038.2461,10026.8161
2015-06-30 21:44:00+00:00,10001.3495,10001.3495
2015-07-01 21:44:00+00:00,9997.3323,9980.1323
2015-07-02 21:44:00+00:00,9995.3861,9979.5561
2015-07-03 21:46:00+00:00,9932.4358,9932.4358
2015-07-06 21:46:00+00:00,9882.0116,9888.3316
2015-07-07 21:47:00+00:00,9872.9416,9852.2416
2015-07-08 21:47:00+00:00,9921.7036,9852.0536
2015-07-09 21:47:00+00:00,9860.7000,9892.0100
2015-07-10 21:47:00+00:00,9869.9731,9845.8231
2015-07-13 21:47:00+00:00,9820.6185,9802.9485
2015-07-14 21:47:00+00:00,9831.6612,9812.6612
2015-07-15 21:48:00+00:00,9823.8800,9811.2200
2015-07-16 21:48:00+00:00,9867.9062,9811.3262
2015-07-17 21:48:00+00:00,9829.2424,9808.9624
2015-07-20 21:48:00+00:00,9809.3278,9809.3278
2015-07-21 21:49:00+00:00,9844.3328,9809.0028
2015-07-22 21:49:00+00:00,9783.9777,9798.4377
2015-07-23 21:49:00+00:00,9761.0639,9745.7039
2015-07-24 21:49:00+00:00,9740.0968,9720.8168
2015-07-27 21:49:00+00:00,9761.1359,9704.7159
2015-07-28 21:49:00+00:00,9735.5217,9753.1217
2015-07-29 21:49:00+00:00,9712.7055,9706.7055
2015-07-30 21:49:00+00:00,9728.8520,9690.7020
2015-07-31 21:49:00+00:00,9719.8865,9717.0065
2015-08-03 21:49:00+00:00,9700.4279,9696.0279
2015-08-04 21:49:00+00:00,9660.6468,9641.4468
2015-08-05 21:49:00+00:00,9661.1922,9661.1922
2015-08-06 21:49:00+00:00,9699.0822,9661.0422
2015-08-07 21:49:00+00:00,9687.7372,9635.5972
2015-08-10 21:50:00+00:00,9719.1916,9674.7916
2015-08-11 21:50:00+00:00,9676.9182,9676.9182
2015-08-12 21:50:00+00:00,9697.4432,9676.7932
2015-08-13 21:50:00+00:00,9644.2854,9659.6854
2015-08-14 21:50:00+00:00,9623.7787,9614.0787
2015-08-17 21:51:00+00:00,9630.1186,9614.3686
2015-08-18 21:51:00+00:00,9616.6831,9623.8231
2015-08-19 21:51:00+00:00,9579.2340,9580.1840
2015-08-20 21:51:00+00:00,9613.7031,9555.6531
2015-08-23 22:31:00+00:00,9683.6471,9554.5471
2015-08-24 22:31:00+00:00,9792.4441,9553.9941
2015-08-25 22:31:00+00:00,9737.3309,9740.7309
2015-08-26 22:31:00+00:00,9835.0219,9727.8719
2015-08-27 22:31:00+00:00,9863.9839,9727.6839
2015-08-30 22:31:00+00:00,9863.3925,9846.8325
2015-08-31 22:32:00+00:00,9851.4395,9835.7395
2015-09-01 22:32:00+00:00,9859.1735,9825.1235
2015-09-02 22:32:00+00:00,9831.5345,9817.0345
2015-09-03 22:32:00+00:00,9853.1965,9816.8465
2015-09-06 22:32:00+00:00,9892.5085,9816.6585
2015-09-07 22:32:00+00:00,9845.6695,9850.6195
2015-09-08 22:32:00+00:00,9904.2305,9850.2805
2015-09-09 22:32:00+00:00,9849.6061,9849.6061
2015-09-10 22:32:00+00:00,9831.1297,9835.5997
2015-09-13 22:32:00+00:00,9810.1585,9821.8585
2015-09-14 22:32:00+00:00,9730.2133,9740.2933
2015-09-15 22:33:00+00:00,9772.7600,9716.8500
2015-09-16 22:34:00+00:00,9724.8364,9688.6564
2015-09-17 22:35:00+00:00,9776.9896,9688.2496
2015-09-20 22:35:00+00:00,9774.2692,9764.4692
2015-09-21 22:36:00+00:00,9786.6737,9757.0737
2015-09-22 22:37:00+00:00,9818.4032,9757.1032
2015-09-23 22:37:00+00:00,9781.5058,9776.8458
2015-09-24 22:37:00+00:00,9744.1603,9742.4003
2015-09-27 22:38:00+00:00,9693.5724,9693.5724
2015-09-28 22:38:00+00:00,9651.2697,9648.9097
2015-09-29 22:38:00+00:00,9610.4360,9613.4360
2015-09-30 22:39:00+00:00,9579.3803,9567.8603
2015-10-01 22:39:00+00:00,9532.7716,9539.6716
