utc_time,equity,balance
2026-07-15 18:57:00+00:00,10000.0000,10000.0000
2026-07-15 19:57:00+00:00,10000.0000,10000.0000
2026-07-15 21:21:00+00:00,10000.0000,10000.0000
2026-07-15 22:21:00+00:00,10000.0000,10000.0000
2026-07-15 23:21:00+00:00,10000.0000,10000.0000
2026-07-16 00:21:00+00:00,10000.0000,10000.0000
2026-07-16 01:21:00+00:00,10000.0000,10000.0000
2026-07-16 02:21:00+00:00,10000.0000,10000.0000
2026-07-16 03:21:00+00:00,10000.0000,10000.0000
2026-07-16 04:21:00+00:00,10000.0000,10000.0000
2026-07-16 05:21:00+00:00,10000.0000,10000.0000
2026-07-16 06:21:00+00:00,10000.0000,10000.0000
2026-07-16 07:21:00+00:00,10000.0000,10000.0000
2026-07-16 08:21:00+00:00,10000.0000,10000.0000
2026-07-16 09:21:00+00:00,10000.0000,10000.0000
2026-07-16 10:21:00+00:00,10000.0000,10000.0000
2026-07-16 11:21:00+00:00,10000.0000,10000.0000
2026-07-16 12:21:00+00:00,10000.0000,10000.0000
2026-07-16 13:21:00+00:00,10000.0000,10000.0000
2026-07-16 14:21:00+00:00,10000.0000,10000.0000
2026-07-16 15:21:00+00:00,9973.4108,9973.4108
2026-07-16 16:21:00+00:00,9947.4029,9947.4029
2026-07-16 17:21:00+00:00,9931.7429,9947.4029
2026-07-16 18:21:00+00:00,9953.6429,9947.4029
2026-07-16 19:21:00+00:00,9947.5229,9947.4029
2026-07-16 20:21:00+00:00,9972.7229,9947.4029
2026-07-16 21:37:00+00:00,9970.6229,9947.4029
2026-07-16 22:37:00+00:00,9977.7377,9942.4577
2026-07-16 23:37:00+00:00,9986.1377,9942.4577
2026-07-17 00:37:00+00:00,9967.8977,9942.4577
2026-07-17 01:37:00+00:00,9965.7977,9942.4577
2026-07-17 02:37:00+00:00,9930.0977,9942.4577
2026-07-17 03:37:00+00:00,9936.0977,9942.4577
2026-07-17 04:37:00+00:00,9924.2777,9942.4577
2026-07-17 05:37:00+00:00,9925.9665,9915.1665
2026-07-17 06:37:00+00:00,9953.2665,9915.1665
2026-07-17 07:37:00+00:00,9939.1665,9915.1665
2026-07-17 08:37:00+00:00,9931.3665,9915.1665
2026-07-17 09:37:00+00:00,9915.4665,9915.1665
2026-07-17 10:37:00+00:00,9901.6665,9915.1665
2026-07-17 11:37:00+00:00,9920.1060,9887.7860
2026-07-17 12:37:00+00:00,9882.8260,9887.7860
2026-07-17 13:37:00+00:00,9904.9060,9887.7860
2026-07-17 14:37:00+00:00,9945.3220,9922.4420
2026-07-17 15:37:00+00:00,9947.7220,9922.4420
2026-07-17 16:37:00+00:00,9948.8420,9922.4420
2026-07-17 17:37:00+00:00,9953.8020,9922.4420
2026-07-17 18:37:00+00:00,9953.8020,9922.4420
2026-07-17 19:37:00+00:00,9952.0420,9922.4420
2026-07-17 20:37:00+00:00,9951.5620,9922.4420
2026-07-19 21:50:00+00:00,9932.7172,9921.3572
2026-07-19 22:50:00+00:00,9935.4724,9920.2724
2026-07-19 23:50:00+00:00,9935.1524,9920.2724
2026-07-20 00:50:00+00:00,9942.1924,9920.2724
2026-07-20 01:50:00+00:00,9946.0324,9920.2724
2026-07-20 02:50:00+00:00,9963.4724,9920.2724
2026-07-20 03:50:00+00:00,9962.6724,9920.2724
2026-07-20 04:50:00+00:00,9968.5684,9968.5684
2026-07-20 05:50:00+00:00,9968.5684,9968.5684
2026-07-20 06:50:00+00:00,9968.5684,9968.5684
2026-07-20 07:50:00+00:00,9968.5684,9968.5684
2026-07-20 08:50:00+00:00,9972.9684,9968.5684
2026-07-20 09:50:00+00:00,9986.3684,9968.5684
2026-07-20 10:50:00+00:00,9974.5684,9968.5684
2026-07-20 11:50:00+00:00,9985.7684,9968.5684
2026-07-20 12:50:00+00:00,10011.2584,10011.2584
2026-07-20 13:50:00+00:00,10011.2584,10011.2584
2026-07-20 14:50:00+00:00,9983.1369,9983.1369
2026-07-20 15:50:00+00:00,9989.7369,9983.1369
2026-07-20 16:50:00+00:00,9986.6569,9983.1369
2026-07-20 17:50:00+00:00,9994.1369,9983.1369
2026-07-20 18:50:00+00:00,9995.8969,9983.1369
2026-07-20 19:50:00+00:00,10002.0569,9983.1369
2026-07-20 20:50:00+00:00,9992.3769,9983.1369
2026-07-20 22:04:00+00:00,9984.8837,9980.7037
2026-07-20 23:04:00+00:00,9989.9437,9980.7037
2026-07-21 00:04:00+00:00,9999.8437,9980.7037
2026-07-21 01:04:00+00:00,9992.1437,9980.7037
2026-07-21 02:04:00+00:00,9995.2237,9980.7037
2026-07-21 03:04:00+00:00,9983.3437,9980.7037
2026-07-21 04:04:00+00:00,9989.9437,9980.7037
2026-07-21 05:04:00+00:00,10000.0637,9980.7037
2026-07-21 06:04:00+00:00,10006.4437,9980.7037
2026-07-21 07:04:00+00:00,10017.2237,9980.7037
2026-07-21 08:04:00+00:00,10011.2837,9980.7037
2026-07-21 09:04:00+00:00,10011.0637,9980.7037
2026-07-21 10:04:00+00:00,10012.1637,9980.7037
2026-07-21 11:04:00+00:00,10007.5437,9980.7037
2026-07-21 12:04:00+00:00,9999.8437,9980.7037
2026-07-21 13:04:00+00:00,9997.4237,9980.7037
2026-07-21 14:04:00+00:00,9995.0037,9980.7037
2026-07-21 15:04:00+00:00,9970.2637,9980.7037
2026-07-21 16:04:00+00:00,9980.0037,9980.7037
2026-07-21 17:04:00+00:00,9991.4237,9980.7037
2026-07-21 18:04:00+00:00,9973.9037,9980.7037
2026-07-21 19:04:00+00:00,9974.9637,9980.7037
2026-07-21 20:04:00+00:00,9975.6237,9980.7037
2026-07-21 21:17:00+00:00,9949.3037,9952.1037
2026-07-21 22:18:00+00:00,9953.6745,9951.1545
2026-07-21 23:18:00+00:00,9952.5545,9951.1545
2026-07-22 00:19:00+00:00,9965.2945,9951.1545
2026-07-22 01:19:00+00:00,9965.4345,9951.1545
2026-07-22 02:19:00+00:00,9964.7345,9951.1545
2026-07-22 03:19:00+00:00,9965.5745,9951.1545
2026-07-22 04:19:00+00:00,9962.6345,9951.1545
2026-07-22 05:19:00+00:00,9966.4145,9951.1545
2026-07-22 06:19:00+00:00,9960.9545,9951.1545
2026-07-22 07:19:00+00:00,9967.9545,9951.1545
2026-07-22 08:19:00+00:00,9952.5545,9951.1545
2026-07-22 09:19:00+00:00,9945.1345,9951.1545
2026-07-22 10:19:00+00:00,9948.2145,9951.1545
2026-07-22 11:19:00+00:00,9941.3545,9951.1545
2026-07-22 12:19:00+00:00,9942.6145,9951.1545
2026-07-22 13:19:00+00:00,9942.1835,9926.2235
2026-07-22 14:19:00+00:00,9955.8730,9955.8730
2026-07-22 15:19:00+00:00,9955.8730,9955.8730
2026-07-22 16:19:00+00:00,9955.8730,9955.8730
2026-07-22 17:19:00+00:00,9955.8730,9955.8730
2026-07-22 18:19:00+00:00,9955.8730,9955.8730
2026-07-22 19:19:00+00:00,9955.8730,9955.8730
2026-07-22 20:19:00+00:00,9955.8730,9955.8730
2026-07-22 21:36:00+00:00,9955.8730,9955.8730
2026-07-22 22:36:00+00:00,9955.8730,9955.8730
2026-07-22 23:36:00+00:00,9955.8730,9955.8730
2026-07-23 00:36:00+00:00,9955.8730,9955.8730
2026-07-23 01:36:00+00:00,9926.3463,9926.3463
2026-07-23 02:36:00+00:00,9926.3463,9926.3463
2026-07-23 03:36:00+00:00,9899.9863,9926.3463
2026-07-23 04:36:00+00:00,9885.2350,9897.0150
2026-07-23 05:36:00+00:00,9902.8150,9897.0150
2026-07-23 06:36:00+00:00,9926.4450,9897.0150
2026-07-23 07:36:00+00:00,9964.3230,9950.0630
2026-07-23 08:36:00+00:00,10006.2815,10006.2815
2026-07-23 09:36:00+00:00,10006.2815,10006.2815
2026-07-23 10:36:00+00:00,10006.2815,10006.2815
2026-07-23 11:36:00+00:00,10006.2815,10006.2815
2026-07-23 12:36:00+00:00,9969.5915,10006.2815
2026-07-23 13:36:00+00:00,9929.5921,9929.5921
2026-07-23 14:36:00+00:00,9893.5903,9903.4703
2026-07-23 15:36:00+00:00,9863.5647,9877.4347
2026-07-23 16:36:00+00:00,9884.3247,9877.4347
2026-07-23 17:36:00+00:00,9881.8347,9877.4347
2026-07-23 18:36:00+00:00,9882.7647,9877.4347
2026-07-23 19:36:00+00:00,9886.8047,9877.4347
2026-07-23 20:36:00+00:00,9883.9547,9877.4347
2026-07-23 21:50:00+00:00,9878.8747,9877.4347
2026-07-23 22:51:00+00:00,9885.0375,9874.5875
2026-07-23 23:51:00+00:00,9880.0475,9874.5875
2026-07-24 00:51:00+00:00,9885.0575,9874.5875
2026-07-24 01:51:00+00:00,9907.2575,9874.5875
2026-07-24 02:51:00+00:00,9892.5975,9874.5875
2026-07-24 03:51:00+00:00,9888.8275,9874.5875
2026-07-24 04:51:00+00:00,9872.2775,9874.5875
2026-07-24 05:51:00+00:00,9882.9775,9874.5875
