symbol,direction,signal_close_time_utc,reason
GBPUSD,SELL,2026-08-07 00:00:00+00:00,SYMBOL_ALREADY_HAS_OPEN_POSITION
EURUSD,BUY,2026-08-12 14:00:00+00:00,CORRELATED_OR_PORTFOLIO_RISK_CAP
GBPUSD,SELL,2026-08-12 22:00:00+00:00,SYMBOL_ALREADY_HAS_OPEN_POSITION
EURUSD,BUY,2026-08-14 05:00:00+00:00,SYMBOL_ALREADY_HAS_OPEN_POSITION
GBPUSD,BUY,2026-08-14 08:00:00+00:00,SYMBOL_ALREADY_HAS_OPEN_POSITION
GBPUSD,BUY,2026-08-19 04:00:00+00:00,SYMBOL_ALREADY_HAS_OPEN_POSITION
GBPUSD,SELL,2026-08-25 05:00:00+00:00,CORRELATED_OR_PORTFOLIO_RISK_CAP
EURUSD,SELL,2026-08-26 09:00:00+00:00,SYMBOL_ALREADY_HAS_OPEN_POSITION
GBPUSD,BUY,2026-09-03 17:00:00+00:00,CORRELATED_OR_PORTFOLIO_RISK_CAP
