utc_time,symbol,direction,lots,swap_usd
2026-07-23 22:00:00+00:00,EURUSD,SELL,0.18,0.10620000000000002
2026-07-26 21:05:00+00:00,EURUSD,SELL,0.18,0.10620000000000002
2026-07-26 22:00:00+00:00,EURUSD,SELL,0.18,0.10620000000000002
2026-07-27 22:00:00+00:00,EURUSD,SELL,0.16,0.09440000000000001
2026-07-29 22:00:00+00:00,GBPUSD,BUY,0.08,-1.6272000000000002
2026-08-04 22:00:00+00:00,GBPUSD,BUY,0.14,-0.9492000000000003
2026-08-05 22:00:00+00:00,GBPUSD,BUY,0.14,-2.847600000000001
2026-08-06 22:00:00+00:00,GBPUSD,BUY,0.14,-0.9492000000000003
2026-08-06 22:00:00+00:00,EURUSD,SELL,0.2,0.11800000000000002
2026-08-09 21:05:00+00:00,EURUSD,BUY,0.15,-1.6590000000000003
2026-08-09 21:05:00+00:00,GBPUSD,BUY,0.11,-0.7458000000000001
2026-08-09 22:00:00+00:00,EURUSD,BUY,0.15,-1.6590000000000003
2026-08-09 22:00:00+00:00,GBPUSD,BUY,0.11,-0.7458000000000001
2026-08-10 22:00:00+00:00,GBPUSD,BUY,0.11,-0.7458000000000001
2026-08-11 22:00:00+00:00,GBPUSD,BUY,0.11,-0.7458000000000001
2026-08-11 22:00:00+00:00,EURUSD,SELL,0.27,0.15930000000000002
2026-08-12 22:00:00+00:00,GBPUSD,BUY,0.11,-2.2374000000000005
2026-08-12 22:00:00+00:00,EURUSD,SELL,0.18,0.31860000000000005
2026-08-13 22:00:00+00:00,GBPUSD,BUY,0.11,-0.7458000000000001
2026-08-13 22:00:00+00:00,EURUSD,SELL,0.18,0.10620000000000002
2026-08-24 22:00:00+00:00,EURUSD,SELL,0.19,0.11210000000000002
2026-08-25 22:00:00+00:00,EURUSD,BUY,0.2,-2.2120000000000006
2026-09-03 22:00:00+00:00,EURUSD,BUY,0.17,-1.8802000000000005
2026-09-07 22:00:00+00:00,GBPUSD,BUY,0.14,-0.9492000000000003
2026-09-08 22:00:00+00:00,GBPUSD,BUY,0.14,-0.9492000000000003
2026-09-09 22:00:00+00:00,GBPUSD,BUY,0.14,-2.847600000000001
