idea_id,symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
m30-idea-1,EURUSD,SELL,0.17,2015-01-14 06:00:00+00:00,1.17905,1.1804642679961475,,2015-01-14 07:00:00+00:00,1.17886,DISCRETIONARY_EXIT,False,3.2300,0.8500,2.3800,0.0956
m30-idea-2,EURUSD,SELL,0.07,2015-01-14 14:00:00+00:00,1.18245,1.1855610486044736,,2015-01-14 15:30:00+00:00,1.17907,DISCRETIONARY_EXIT,False,23.6600,0.3500,23.3100,1.0534
m30-idea-3,GBPUSD,BUY,0.16,2015-01-15 07:30:00+00:00,1.5211400000000002,1.5196327648072236,,2015-01-15 09:31:00+00:00,1.5195327648072237,SL,False,-25.7158,0.8000,-26.5158,-1.0642
m30-idea-4,EURUSD,SELL,0.06,2015-01-15 22:00:00+00:00,1.16294,1.1669369996367123,,2015-01-16 00:30:00+00:00,1.16204,DISCRETIONARY_EXIT,False,5.4000,0.3000,5.1000,0.2100
m30-idea-5,EURUSD,SELL,0.06,2015-01-16 18:30:00+00:00,1.15617,1.1601354422414791,,2015-01-16 19:30:00+00:00,1.15409,DISCRETIONARY_EXIT,False,12.4800,0.3000,12.1800,0.5055
m30-idea-6,EURUSD,SELL,0.11,2015-01-19 07:30:00+00:00,1.15795,1.1600522183468318,,2015-01-19 09:23:00+00:00,1.1601522183468318,SL,False,-24.2244,0.5500,-24.7744,-1.0465
m30-idea-7,EURUSD,SELL,0.09,2015-01-19 14:30:00+00:00,1.16172,1.1643262711624096,,2015-01-19 17:00:00+00:00,1.16248,DISCRETIONARY_EXIT,False,-6.8400,0.4500,-7.2900,-0.3049
m30-idea-8,GBPUSD,SELL,0.14,2015-01-20 08:00:00+00:00,1.5102200000000001,1.5119525412179173,,2015-01-20 08:45:00+00:00,1.5120525412179173,SL,False,-25.6556,0.7000,-26.3556,-1.0561
m30-idea-9,GBPUSD,SELL,0.12,2015-01-20 09:00:00+00:00,1.51231,1.5141995380909592,,2015-01-20 09:20:00+00:00,1.5142995380909592,SL,False,-23.8745,0.6000,-24.4745,-1.0516
m30-idea-11,GBPUSD,SELL,0.16,2015-01-21 03:30:00+00:00,1.5154400000000001,1.516868977977641,,2015-01-21 03:48:00+00:00,1.516968977977641,SL,False,-24.4636,0.8000,-25.2636,-1.0676
m30-idea-10,EURUSD,SELL,0.16,2015-01-21 03:00:00+00:00,1.15657,1.1580821521844666,,2015-01-21 05:00:00+00:00,1.15688,DISCRETIONARY_EXIT,False,-4.9600,0.8000,-5.7600,-0.2305
m30-idea-12,EURUSD,SELL,0.15,2015-01-21 06:30:00+00:00,1.1583,1.159823110717329,,2015-01-21 07:30:00+00:00,1.15707,DISCRETIONARY_EXIT,False,18.4500,0.7500,17.7000,0.7501
m30-idea-13,EURUSD,SELL,0.1,2015-01-21 14:00:00+00:00,1.16319,1.165506566785849,,2015-01-21 14:48:00+00:00,1.165606566785849,SL,False,-24.1657,0.5000,-24.6657,-1.0423
m30-idea-14,EURUSD,SELL,0.08,2015-01-21 22:00:00+00:00,1.16085,1.1636257557726233,,2015-01-22 00:30:00+00:00,1.16032,DISCRETIONARY_EXIT,False,4.2400,0.4000,3.8400,0.1699
m30-idea-15,GBPUSD,SELL,0.09,2015-01-22 01:30:00+00:00,1.51558,1.518038239714681,,2015-01-22 02:30:00+00:00,1.5150400000000002,DISCRETIONARY_EXIT,False,4.8600,0.4500,4.4100,0.1954
m30-idea-16,GBPUSD,SELL,0.12,2015-01-22 08:30:00+00:00,1.51493,1.5169423399223505,,2015-01-22 09:28:00+00:00,1.5170423399223505,SL,False,-25.3481,0.6000,-25.9481,-1.0485
m30-idea-17,GBPUSD,SELL,0.11,2015-01-22 09:30:00+00:00,1.5160500000000001,1.5181104614636596,,2015-01-22 09:46:00+00:00,1.5182104614636596,SL,False,-23.7651,0.5500,-24.3151,-1.0474
m30-idea-18,GBPUSD,BUY,0.06,2015-01-22 14:30:00+00:00,1.5142200000000001,1.510433508713408,,2015-01-22 15:23:00+00:00,1.510333508713408,SL,False,-23.3189,0.3000,-23.6189,-1.0261
m30-idea-19,GBPUSD,SELL,0.12,2015-01-26 05:30:00+00:00,1.50022,1.5022304443158263,,2015-01-26 06:44:00+00:00,1.5023304443158263,SL,False,-25.3253,0.6000,-25.9253,-1.0485
m30-idea-20,EURUSD,SELL,0.07,2015-01-26 06:30:00+00:00,1.11926,1.122605474899113,,2015-01-26 07:02:00+00:00,1.122705474899113,SL,False,-24.1183,0.3500,-24.4683,-1.0295
m30-idea-21,EURUSD,SELL,0.07,2015-01-26 14:00:00+00:00,1.12679,1.1302511730817513,,2015-01-26 16:00:00+00:00,1.12587,DISCRETIONARY_EXIT,False,6.4400,0.3500,6.0900,0.2478
m30-idea-22,GBPUSD,SELL,0.09,2015-01-26 15:00:00+00:00,1.50514,1.5078141266392457,,2015-01-26 16:19:00+00:00,1.5079141266392457,SL,False,-24.9671,0.4500,-25.4171,-1.0367
m30-idea-23,GBPUSD,SELL,0.1,2015-01-27 01:30:00+00:00,1.51011,1.5123454329595893,,2015-01-27 03:30:00+00:00,1.5102200000000001,DISCRETIONARY_EXIT,False,-1.1000,0.5000,-1.6000,-0.0700
m30-idea-24,EURUSD,SELL,0.1,2015-01-27 08:30:00+00:00,1.1286,1.130895539086359,,2015-01-27 08:42:00+00:00,1.130995539086359,SL,False,-23.9554,0.5000,-24.4554,-1.0426
m30-idea-25,EURUSD,SELL,0.07,2015-01-27 14:00:00+00:00,1.13375,1.1370335911881906,,2015-01-27 14:15:00+00:00,1.1371335911881906,SL,False,-23.6851,0.3500,-24.0351,-1.0300
