idea_id,symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
m30-idea-1,EURUSD,SELL,0.3,2026-07-16 08:00:00+00:00,1.14691,1.1476715612217807,1.14673,2026-07-16 08:05:00+00:00,1.14673,TP,False,5.4000,1.5000,3.9000,0.1602
m30-idea-2,GBPUSD,BUY,0.49,2026-07-16 09:00:00+00:00,1.35223,1.3517761460603896,1.35317,2026-07-16 09:07:00+00:00,1.3517761460603896,SL,False,-22.2388,2.4500,-24.6888,-1.0000
m30-idea-3,GBPUSD,BUY,0.65,2026-07-16 11:00:00+00:00,1.3504800000000001,1.3501496570082983,1.3522750000000001,2026-07-16 11:04:00+00:00,1.3501496570082983,SL,False,-21.4723,3.2500,-24.7223,-1.0000
m30-idea-4,EURUSD,BUY,0.63,2026-07-16 11:30:00+00:00,1.14611,1.1457649895645965,1.1467749999999999,2026-07-16 11:50:00+00:00,1.1457649895645965,SL,False,-21.7357,3.1500,-24.8857,-1.0000
m30-idea-6,EURUSD,BUY,0.15,2026-07-16 13:30:00+00:00,1.14592,1.1443734430694097,1.14616,2026-07-16 14:39:00+00:00,1.1443734430694097,SL,False,-23.1984,0.7500,-23.9484,-1.0000
m30-idea-5,GBPUSD,BUY,0.15,2026-07-16 12:00:00+00:00,1.3508300000000002,1.3492749185428692,1.351835,2026-07-16 14:51:00+00:00,1.3492749185428692,SL,False,-23.3262,0.7500,-24.0762,-1.0000
m30-idea-7,EURUSD,BUY,0.38,2026-07-16 15:30:00+00:00,1.14415,1.1435587183857092,1.14581,2026-07-16 16:26:00+00:00,1.1435587183857092,SL,False,-22.4687,1.9000,-24.3687,-1.0000
m30-idea-8,EURUSD,BUY,0.4,2026-07-16 17:30:00+00:00,1.14361,1.1430410883958309,1.14552,2026-07-16 22:00:00+00:00,1.1441,TIMEOUT_EXIT,False,19.6000,2.0000,17.6000,0.7109
m30-idea-9,GBPUSD,BUY,0.23,2026-07-16 17:30:00+00:00,1.34685,1.345845221872134,1.350365,2026-07-16 22:00:00+00:00,1.34712,TIMEOUT_EXIT,False,6.2100,1.1500,5.0600,0.2086
m30-idea-10,GBPUSD,BUY,0.41,2026-07-17 04:00:00+00:00,1.34667,1.3461241005002234,1.34711,2026-07-17 04:25:00+00:00,1.3461241005002234,SL,False,-22.3819,2.0500,-24.4319,-1.0000
m30-idea-11,EURUSD,SELL,0.8,2026-07-17 07:00:00+00:00,1.14499,1.145250992012972,1.144285,2026-07-17 07:00:00+00:00,1.145250992012972,SL,False,-20.8794,4.0000,-24.8794,-1.0000
m30-idea-13,GBPUSD,SELL,0.2,2026-07-17 07:30:00+00:00,1.34695,1.348115915104454,1.346825,2026-07-17 07:35:00+00:00,1.346825,TP,False,2.5000,1.0000,1.5000,0.0617
m30-idea-12,EURUSD,SELL,0.38,2026-07-17 07:30:00+00:00,1.14468,1.145272992583474,1.144325,2026-07-17 08:13:00+00:00,1.144325,TP,False,13.4900,1.9000,11.5900,0.4743
m30-idea-14,GBPUSD,BUY,0.22,2026-07-17 09:30:00+00:00,1.34451,1.3434624725036883,1.346115,2026-07-17 10:24:00+00:00,1.3434624725036883,SL,False,-23.0456,1.1000,-24.1456,-1.0000
m30-idea-15,EURUSD,BUY,0.3,2026-07-17 11:30:00+00:00,1.14316,1.1423892145366397,1.1439149999999998,2026-07-17 14:17:00+00:00,1.1439149999999998,TP,False,22.6500,1.5000,21.1500,0.8589
m30-idea-16,EURUSD,BUY,0.64,2026-07-19 23:30:00+00:00,1.1426399999999999,1.1423033141051464,1.14343,2026-07-20 01:00:00+00:00,1.14343,TP,False,50.5600,3.2000,47.3600,1.9137
m30-idea-17,EURUSD,SELL,0.82,2026-07-20 03:00:00+00:00,1.14409,1.1443421788364125,1.1432950000000002,2026-07-20 03:43:00+00:00,1.1443421788364125,SL,False,-20.6787,4.1000,-24.7787,-1.0000
m30-idea-18,GBPUSD,SELL,0.47,2026-07-20 03:00:00+00:00,1.34589,1.3463611339749524,1.34464,2026-07-20 04:10:00+00:00,1.3463611339749524,SL,False,-22.1433,2.3500,-24.4933,-1.0000
m30-idea-19,EURUSD,SELL,1.61,2026-07-20 05:00:00+00:00,1.14445,1.1445547088907428,1.14341,2026-07-20 05:00:00+00:00,1.1445547088907428,SL,False,-16.8581,8.0500,-24.9081,-1.0000
m30-idea-20,GBPUSD,SELL,0.27,2026-07-20 06:30:00+00:00,1.34609,1.346939665306369,1.34504,2026-07-20 07:27:00+00:00,1.346939665306369,SL,False,-22.9410,1.3500,-24.2910,-1.0000
m30-idea-21,EURUSD,SELL,0.39,2026-07-20 08:00:00+00:00,1.14441,1.1449992649577898,1.143435,2026-07-20 09:07:00+00:00,1.143435,TP,False,38.0250,1.9500,36.0750,1.4470
m30-idea-22,GBPUSD,BUY,0.68,2026-07-20 12:30:00+00:00,1.34541,1.3450932005281941,1.3466749999999998,2026-07-20 12:31:00+00:00,1.3450932005281941,SL,False,-21.5424,3.4000,-24.9424,-1.0000
m30-idea-23,EURUSD,BUY,0.27,2026-07-20 13:00:00+00:00,1.14249,1.1416227762736777,1.143335,2026-07-20 13:42:00+00:00,1.1416227762736777,SL,False,-23.4150,1.3500,-24.7650,-1.0000
m30-idea-24,GBPUSD,BUY,0.25,2026-07-20 13:00:00+00:00,1.34565,1.34473311477618,1.346635,2026-07-20 13:45:00+00:00,1.34473311477618,SL,False,-22.9221,1.2500,-24.1721,-1.0000
m30-idea-26,EURUSD,BUY,0.39,2026-07-20 14:30:00+00:00,1.14172,1.1411338533065851,1.14319,2026-07-20 14:32:00+00:00,1.1411338533065851,SL,False,-22.8597,1.9500,-24.8097,-1.0000
m30-idea-25,GBPUSD,BUY,0.24,2026-07-20 14:00:00+00:00,1.34539,1.3444010887610942,1.346455,2026-07-20 14:40:00+00:00,1.3444010887610942,SL,False,-23.7339,1.2000,-24.9339,-1.0000
m30-idea-27,GBPUSD,BUY,0.25,2026-07-20 16:30:00+00:00,1.3421500000000002,1.3412247713013419,1.344725,2026-07-20 21:13:00+00:00,1.34294,TIMEOUT_EXIT,False,19.7500,1.2500,18.5000,0.7588
