idea_id,symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
m30-idea-2,EURUSD,SELL,0.24,2026-07-28 14:30:00+00:00,1.13774,1.1386918970379596,,2026-07-28 14:58:00+00:00,1.1387418970379597,SL,False,-24.0455,1.2000,-25.2455,-1.0499
m30-idea-1,GBPUSD,SELL,0.17,2026-07-28 13:00:00+00:00,1.32974,1.3311066271141925,,2026-07-28 15:00:00+00:00,1.32929,DISCRETIONARY_EXIT,False,7.6500,0.8500,6.8000,0.2824
m30-idea-4,EURUSD,SELL,0.29,2026-07-29 01:00:00+00:00,1.13903,1.1398163453314156,,2026-07-29 03:19:00+00:00,1.1398663453314157,SL,False,-24.2540,1.4500,-25.7040,-1.0598
m30-idea-3,GBPUSD,SELL,0.22,2026-07-29 00:30:00+00:00,1.32906,1.3301200377557498,,2026-07-29 04:36:00+00:00,1.33017003775575,SL,False,-24.4208,1.1000,-25.5208,-1.0450
m30-idea-5,GBPUSD,SELL,0.22,2026-07-29 09:00:00+00:00,1.3305099999999999,1.3315665752568826,,2026-07-29 10:00:00+00:00,1.3298500000000002,DISCRETIONARY_EXIT,False,14.5200,1.1000,13.4200,0.5513
m30-idea-6,EURUSD,SELL,0.16,2026-07-29 18:30:00+00:00,1.14218,1.143666587572973,,2026-07-29 18:44:00+00:00,1.1437165875729731,SL,False,-24.5854,0.8000,-25.3854,-1.0325
m30-idea-7,GBPUSD,SELL,0.12,2026-07-29 18:30:00+00:00,1.3330899999999999,1.3350491112572664,,2026-07-29 18:45:00+00:00,1.3350991112572665,SL,False,-24.1093,0.6000,-24.7093,-1.0249
m30-idea-8,EURUSD,BUY,0.18,2026-07-30 03:30:00+00:00,1.14517,1.1438359406191894,,2026-07-30 04:30:00+00:00,1.14527,DISCRETIONARY_EXIT,False,1.8000,0.9000,0.9000,0.0361
m30-idea-9,GBPUSD,SELL,0.13,2026-07-30 09:30:00+00:00,1.33726,1.3390337583859393,,2026-07-30 10:15:00+00:00,1.3390837583859394,SL,False,-23.7089,0.6500,-24.3589,-1.0274
m30-idea-10,EURUSD,BUY,0.19,2026-07-31 01:00:00+00:00,1.15195,1.1507143547329541,,2026-07-31 03:40:00+00:00,1.150664354732954,SL,False,-24.4273,0.9500,-25.3773,-1.0389
