idea_id,symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
ema-idea-1,GBPUSD,BUY,0.26,2026-07-16 15:00:00+00:00,1.34894,1.3480339466690285,1.352339,2026-07-16 15:06:00+00:00,1.3480339466690285,SL,False,-23.5574,1.3000,-24.8574,-1.0000
ema-idea-2,GBPUSD,BUY,0.21,2026-07-16 16:00:00+00:00,1.34846,1.347341164764098,1.3520804999999998,2026-07-16 16:15:00+00:00,1.347341164764098,SL,False,-23.4955,1.0500,-24.5455,-1.0000
ema-idea-4,GBPUSD,BUY,0.26,2026-07-16 17:00:00+00:00,1.3467300000000002,1.3458428672809482,1.3517214999999998,2026-07-17 04:41:00+00:00,1.3458428672809482,SL,False,-23.0655,1.3000,-24.3655,-1.0000
ema-idea-3,EURUSD,BUY,0.35,2026-07-16 17:00:00+00:00,1.1435899999999999,1.1429273163936853,1.1460940000000002,2026-07-17 10:51:00+00:00,1.1429273163936853,SL,False,-23.1939,1.7500,-24.9439,-1.0000
ema-idea-5,EURUSD,BUY,0.36,2026-07-17 11:00:00+00:00,1.14282,1.1421921142427802,1.144053,2026-07-17 14:19:00+00:00,1.144053,TP,False,44.3880,1.8000,42.5880,1.7451
ema-idea-6,GBPUSD,BUY,0.17,2026-07-17 11:00:00+00:00,1.34336,1.341974614593518,1.3465285000000002,2026-07-20 04:26:00+00:00,1.3465285000000002,TP,False,53.8645,0.8500,53.0145,2.1726
ema-idea-7,GBPUSD,SELL,0.22,2026-07-20 08:00:00+00:00,1.3476,1.3486454423930438,1.3453155,2026-07-20 12:30:00+00:00,1.3453155,TP,False,50.2590,1.1000,49.1590,2.0398
ema-idea-8,EURUSD,BUY,0.38,2026-07-20 14:00:00+00:00,1.1415899999999999,1.140987833073419,1.1433835,2026-07-20 14:36:00+00:00,1.140987833073419,SL,False,-22.8823,1.9000,-24.7823,-1.0000
ema-idea-9,EURUSD,BUY,0.24,2026-07-20 15:00:00+00:00,1.14075,1.1397858449967464,1.1432395000000002,2026-07-21 21:05:00+00:00,1.1397,SL_GAP,False,-25.2000,1.2000,-26.4000,-1.0846
ema-idea-10,GBPUSD,BUY,0.15,2026-07-21 15:00:00+00:00,1.3372700000000002,1.3357392132896528,1.34232,2026-07-22 12:56:00+00:00,1.3357392132896528,SL,False,-22.9618,0.7500,-23.7118,-1.0000
ema-idea-11,GBPUSD,BUY,0.21,2026-07-22 13:00:00+00:00,1.3360100000000001,1.3349046467452892,1.3377204999999999,2026-07-22 13:24:00+00:00,1.3377204999999999,TP,False,35.9205,1.0500,34.8705,1.4372
ema-idea-12,EURUSD,SELL,0.62,2026-07-23 01:00:00+00:00,1.14172,1.142072584975796,1.1409835,2026-07-23 01:01:00+00:00,1.142072584975796,SL,False,-21.8603,3.1000,-24.9603,-1.0000
ema-idea-13,EURUSD,SELL,0.57,2026-07-23 03:00:00+00:00,1.14276,1.1431476370454567,1.141095,2026-07-23 04:07:00+00:00,1.1431476370454567,SL,False,-22.0953,2.8500,-24.9453,-1.0000
ema-idea-14,GBPUSD,SELL,0.45,2026-07-23 03:00:00+00:00,1.33899,1.3394925559335844,1.337444,2026-07-23 07:03:00+00:00,1.337444,TP,False,69.5700,2.2500,67.3200,2.7074
ema-idea-15,EURUSD,BUY,0.14,2026-07-23 12:00:00+00:00,1.13954,1.1378765654513885,1.141523,2026-07-23 12:42:00+00:00,1.1378765654513885,SL,False,-23.2881,0.7000,-23.9881,-1.0000
ema-idea-16,GBPUSD,BUY,0.1,2026-07-23 12:00:00+00:00,1.3356800000000002,1.3333933062546355,1.3375340000000002,2026-07-23 13:06:00+00:00,1.3333933062546355,SL,False,-22.8669,0.5000,-23.3669,-1.0000
ema-idea-17,EURUSD,BUY,0.15,2026-07-23 13:00:00+00:00,1.13859,1.1370768107762894,1.1414025,2026-07-23 13:12:00+00:00,1.1370768107762894,SL,False,-22.6978,0.7500,-23.4478,-1.0000
ema-idea-19,GBPUSD,BUY,0.25,2026-07-23 14:00:00+00:00,1.33297,1.3320326467195582,1.3371674999999998,2026-07-23 14:21:00+00:00,1.3320326467195582,SL,False,-23.4338,1.2500,-24.6838,-1.0000
ema-idea-20,GBPUSD,BUY,0.15,2026-07-23 15:00:00+00:00,1.3321500000000002,1.3305403148110182,1.3368980000000001,2026-07-23 15:30:00+00:00,1.3305403148110182,SL,False,-24.1453,0.7500,-24.8953,-1.0000
ema-idea-18,EURUSD,BUY,0.21,2026-07-23 14:00:00+00:00,1.13738,1.1362759671494116,1.141215,2026-07-27 00:32:00+00:00,1.141215,TP,False,80.5350,1.0500,79.4850,3.2798
ema-idea-22,EURUSD,SELL,0.14,2026-07-27 01:00:00+00:00,1.14017,1.141823070337014,1.1381090000000003,2026-07-27 06:41:00+00:00,1.141823070337014,SL,False,-23.1430,0.7000,-23.8430,-1.0000
