utc_time,equity,balance
2026-07-15 18:57:00+00:00,10000.0000,10000.0000
2026-07-15 19:57:00+00:00,10000.0000,10000.0000
2026-07-15 21:21:00+00:00,10000.0000,10000.0000
2026-07-15 22:21:00+00:00,10000.0000,10000.0000
2026-07-15 23:21:00+00:00,10000.0000,10000.0000
2026-07-16 00:21:00+00:00,10000.0000,10000.0000
2026-07-16 01:21:00+00:00,10000.0000,10000.0000
2026-07-16 02:21:00+00:00,10000.0000,10000.0000
2026-07-16 03:21:00+00:00,10000.0000,10000.0000
2026-07-16 04:21:00+00:00,10000.0000,10000.0000
2026-07-16 05:21:00+00:00,10000.0000,10000.0000
2026-07-16 06:21:00+00:00,10000.0000,10000.0000
2026-07-16 07:21:00+00:00,10000.0000,10000.0000
2026-07-16 08:21:00+00:00,10000.0000,10000.0000
2026-07-16 09:21:00+00:00,10000.0000,10000.0000
2026-07-16 10:21:00+00:00,10000.0000,10000.0000
2026-07-16 11:21:00+00:00,10000.0000,10000.0000
2026-07-16 12:21:00+00:00,10000.0000,10000.0000
2026-07-16 13:21:00+00:00,10000.0000,10000.0000
2026-07-16 14:21:00+00:00,10000.0000,10000.0000
2026-07-16 15:21:00+00:00,9975.1426,9975.1426
2026-07-16 16:21:00+00:00,9950.5971,9950.5971
2026-07-16 17:21:00+00:00,9937.4821,9949.0721
2026-07-16 18:21:00+00:00,9962.3321,9949.0721
2026-07-16 19:21:00+00:00,9955.1521,9949.0721
2026-07-16 20:21:00+00:00,9983.3521,9949.0721
2026-07-16 21:37:00+00:00,9981.3021,9949.0721
2026-07-16 22:37:00+00:00,9989.3583,9943.4383
2026-07-16 23:37:00+00:00,9998.9583,9943.4383
2026-07-17 00:37:00+00:00,9978.5983,9943.4383
2026-07-17 01:37:00+00:00,9976.2483,9943.4383
2026-07-17 02:37:00+00:00,9936.1983,9943.4383
2026-07-17 03:37:00+00:00,9942.7983,9943.4383
2026-07-17 04:37:00+00:00,9929.9683,9943.4383
2026-07-17 05:37:00+00:00,9935.8228,9919.7228
2026-07-17 06:37:00+00:00,9967.6728,9919.7228
2026-07-17 07:37:00+00:00,9951.2228,9919.7228
2026-07-17 08:37:00+00:00,9942.1228,9919.7228
2026-07-17 09:37:00+00:00,9923.5728,9919.7228
2026-07-17 10:37:00+00:00,9907.4728,9919.7228
2026-07-17 11:37:00+00:00,9935.0289,9894.3289
2026-07-17 12:37:00+00:00,9894.3989,9894.3289
2026-07-17 13:37:00+00:00,9918.1389,9894.3289
2026-07-17 14:37:00+00:00,9963.8269,9937.8169
2026-07-17 15:37:00+00:00,9966.3769,9937.8169
2026-07-17 16:37:00+00:00,9967.5669,9937.8169
2026-07-17 17:37:00+00:00,9972.8369,9937.8169
2026-07-17 18:37:00+00:00,9972.8369,9937.8169
2026-07-17 19:37:00+00:00,9970.9669,9937.8169
2026-07-17 20:37:00+00:00,9970.4569,9937.8169
2026-07-19 21:50:00+00:00,9950.4343,9936.6643
2026-07-19 22:50:00+00:00,9953.3617,9935.5117
2026-07-19 23:50:00+00:00,9953.0217,9935.5117
2026-07-20 00:50:00+00:00,9960.5017,9935.5117
2026-07-20 01:50:00+00:00,9964.5817,9935.5117
2026-07-20 02:50:00+00:00,9983.1117,9935.5117
2026-07-20 03:50:00+00:00,9982.2617,9935.5117
2026-07-20 04:50:00+00:00,9988.9512,9988.9512
2026-07-20 05:50:00+00:00,9988.9512,9988.9512
2026-07-20 06:50:00+00:00,9988.9512,9988.9512
2026-07-20 07:50:00+00:00,9988.9512,9988.9512
2026-07-20 08:50:00+00:00,9995.4412,9988.4012
2026-07-20 09:50:00+00:00,10010.1812,9988.4012
2026-07-20 10:50:00+00:00,9997.2012,9988.4012
2026-07-20 11:50:00+00:00,10009.5212,9988.4012
2026-07-20 12:50:00+00:00,10038.1102,10038.1102
2026-07-20 13:50:00+00:00,10038.1102,10038.1102
2026-07-20 14:50:00+00:00,10013.3279,10013.3279
2026-07-20 15:50:00+00:00,10022.3279,10012.7279
2026-07-20 16:50:00+00:00,10018.9679,10012.7279
2026-07-20 17:50:00+00:00,10027.1279,10012.7279
2026-07-20 18:50:00+00:00,10029.0479,10012.7279
2026-07-20 19:50:00+00:00,10035.7679,10012.7279
2026-07-20 20:50:00+00:00,10025.2079,10012.7279
2026-07-20 22:04:00+00:00,10017.0335,10010.0735
2026-07-20 23:04:00+00:00,10022.5535,10010.0735
2026-07-21 00:04:00+00:00,10033.3535,10010.0735
2026-07-21 01:04:00+00:00,10024.9535,10010.0735
2026-07-21 02:04:00+00:00,10028.3135,10010.0735
2026-07-21 03:04:00+00:00,10015.3535,10010.0735
2026-07-21 04:04:00+00:00,10022.5535,10010.0735
2026-07-21 05:04:00+00:00,10033.5935,10010.0735
2026-07-21 06:04:00+00:00,10040.5535,10010.0735
2026-07-21 07:04:00+00:00,10052.3135,10010.0735
2026-07-21 08:04:00+00:00,10045.8335,10010.0735
2026-07-21 09:04:00+00:00,10045.5935,10010.0735
2026-07-21 10:04:00+00:00,10046.7935,10010.0735
2026-07-21 11:04:00+00:00,10041.7535,10010.0735
2026-07-21 12:04:00+00:00,10033.3535,10010.0735
2026-07-21 13:04:00+00:00,10030.7135,10010.0735
2026-07-21 14:04:00+00:00,10028.0735,10010.0735
2026-07-21 15:04:00+00:00,10002.2585,10009.6985
2026-07-21 16:04:00+00:00,10012.8485,10009.6985
2026-07-21 17:04:00+00:00,10025.0585,10009.6985
2026-07-21 18:04:00+00:00,10006.0685,10009.6985
2026-07-21 19:04:00+00:00,10007.1785,10009.6985
2026-07-21 20:04:00+00:00,10007.8985,10009.6985
2026-07-21 21:17:00+00:00,9982.3985,9983.8985
2026-07-21 22:18:00+00:00,9987.0815,9982.8815
2026-07-21 23:18:00+00:00,9985.8815,9982.8815
2026-07-22 00:19:00+00:00,9999.5315,9982.8815
2026-07-22 01:19:00+00:00,9999.6815,9982.8815
2026-07-22 02:19:00+00:00,9998.9315,9982.8815
2026-07-22 03:19:00+00:00,9999.8315,9982.8815
2026-07-22 04:19:00+00:00,9996.6815,9982.8815
2026-07-22 05:19:00+00:00,10000.7315,9982.8815
2026-07-22 06:19:00+00:00,9994.8815,9982.8815
2026-07-22 07:19:00+00:00,10002.3815,9982.8815
2026-07-22 08:19:00+00:00,9985.8815,9982.8815
2026-07-22 09:19:00+00:00,9977.9315,9982.8815
2026-07-22 10:19:00+00:00,9981.2315,9982.8815
2026-07-22 11:19:00+00:00,9973.8815,9982.8815
2026-07-22 12:19:00+00:00,9975.2315,9982.8815
2026-07-22 13:19:00+00:00,9978.7597,9959.0197
2026-07-22 14:19:00+00:00,9994.4152,9994.4152
2026-07-22 15:19:00+00:00,9994.4152,9994.4152
2026-07-22 16:19:00+00:00,9994.4152,9994.4152
2026-07-22 17:19:00+00:00,9994.4152,9994.4152
2026-07-22 18:19:00+00:00,9994.4152,9994.4152
2026-07-22 19:19:00+00:00,9994.4152,9994.4152
2026-07-22 20:19:00+00:00,9994.4152,9994.4152
2026-07-22 21:36:00+00:00,9994.4152,9994.4152
2026-07-22 22:36:00+00:00,9994.4152,9994.4152
2026-07-22 23:36:00+00:00,9994.4152,9994.4152
2026-07-23 00:36:00+00:00,9994.4152,9994.4152
2026-07-23 01:36:00+00:00,9969.4549,9969.4549
2026-07-23 02:36:00+00:00,9969.4549,9969.4549
2026-07-23 03:36:00+00:00,9945.0049,9966.9049
2026-07-23 04:36:00+00:00,9933.9346,9943.3846
2026-07-23 05:36:00+00:00,9953.2846,9943.3846
2026-07-23 06:36:00+00:00,9967.6846,9943.3846
2026-07-23 07:36:00+00:00,10011.8296,10011.8296
2026-07-23 08:36:00+00:00,10011.8296,10011.8296
2026-07-23 09:36:00+00:00,10011.8296,10011.8296
2026-07-23 10:36:00+00:00,10011.8296,10011.8296
2026-07-23 11:36:00+00:00,10011.8296,10011.8296
2026-07-23 12:36:00+00:00,9975.4096,10011.2296
2026-07-23 13:36:00+00:00,9941.0267,9941.0267
2026-07-23 14:36:00+00:00,9906.9979,9915.8179
2026-07-23 15:36:00+00:00,9877.6926,9890.9226
2026-07-23 16:36:00+00:00,9901.0576,9890.6476
2026-07-23 17:36:00+00:00,9898.2476,9890.6476
2026-07-23 18:36:00+00:00,9899.2176,9890.6476
2026-07-23 19:36:00+00:00,9903.7176,9890.6476
2026-07-23 20:36:00+00:00,9900.7876,9890.6476
2026-07-23 21:50:00+00:00,9895.8676,9890.6476
2026-07-23 22:51:00+00:00,9902.1092,9887.5792
2026-07-23 23:51:00+00:00,9896.7792,9887.5792
2026-07-24 00:51:00+00:00,9901.9692,9887.5792
2026-07-24 01:51:00+00:00,9925.6492,9887.5792
2026-07-24 02:51:00+00:00,9910.3492,9887.5792
2026-07-24 03:51:00+00:00,9906.3792,9887.5792
2026-07-24 04:51:00+00:00,9888.9092,9887.5792
2026-07-24 05:51:00+00:00,9900.0292,9887.5792
