utc_time,kind,detail
2026-07-15 18:57:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-15 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-16 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-19 21:05:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-19 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-20 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-21 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-22 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-23 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-26 21:05:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-26 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-27 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-28 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-29 22:00:00+00:00,ROLLOVER,balance_at_midnight=10000.00
2026-07-30 22:00:00+00:00,ROLLOVER,balance_at_midnight=9924.40
2026-08-02 21:05:00+00:00,ROLLOVER,balance_at_midnight=9924.40
2026-08-02 22:00:00+00:00,ROLLOVER,balance_at_midnight=9924.40
2026-08-03 22:00:00+00:00,ROLLOVER,balance_at_midnight=9924.40
2026-08-04 22:00:00+00:00,ROLLOVER,balance_at_midnight=9934.53
2026-08-05 22:00:00+00:00,ROLLOVER,balance_at_midnight=9875.51
2026-08-06 22:00:00+00:00,ROLLOVER,balance_at_midnight=9875.51
2026-08-09 21:05:00+00:00,ROLLOVER,balance_at_midnight=9875.50
2026-08-09 22:00:00+00:00,ROLLOVER,balance_at_midnight=9875.50
2026-08-10 22:00:00+00:00,ROLLOVER,balance_at_midnight=9817.99
2026-08-11 22:00:00+00:00,ROLLOVER,balance_at_midnight=9817.99
2026-08-12 22:00:00+00:00,ROLLOVER,balance_at_midnight=9847.54
2026-08-13 22:00:00+00:00,ROLLOVER,balance_at_midnight=9847.54
2026-08-16 21:05:00+00:00,ROLLOVER,balance_at_midnight=9847.54
2026-08-16 22:00:00+00:00,ROLLOVER,balance_at_midnight=9847.54
2026-08-17 22:00:00+00:00,ROLLOVER,balance_at_midnight=9819.48
2026-08-18 22:00:00+00:00,ROLLOVER,balance_at_midnight=9819.48
2026-08-19 22:00:00+00:00,ROLLOVER,balance_at_midnight=9819.48
2026-08-20 22:00:00+00:00,ROLLOVER,balance_at_midnight=9819.48
2026-08-23 21:05:00+00:00,ROLLOVER,balance_at_midnight=9833.62
2026-08-23 22:00:00+00:00,ROLLOVER,balance_at_midnight=9833.62
2026-08-24 22:00:00+00:00,ROLLOVER,balance_at_midnight=9833.62
2026-08-25 22:00:00+00:00,ROLLOVER,balance_at_midnight=9779.52
2026-08-26 22:00:00+00:00,ROLLOVER,balance_at_midnight=9779.52
2026-08-27 22:00:00+00:00,ROLLOVER,balance_at_midnight=9744.92
2026-08-30 21:05:00+00:00,ROLLOVER,balance_at_midnight=9651.52
2026-08-30 22:00:00+00:00,ROLLOVER,balance_at_midnight=9651.52
2026-08-31 22:00:00+00:00,ROLLOVER,balance_at_midnight=9651.52
2026-09-01 22:00:00+00:00,ROLLOVER,balance_at_midnight=9651.52
2026-09-02 22:00:00+00:00,ROLLOVER,balance_at_midnight=9667.72
2026-09-03 22:00:00+00:00,ROLLOVER,balance_at_midnight=9667.72
2026-09-06 21:05:00+00:00,ROLLOVER,balance_at_midnight=9639.82
2026-09-06 22:00:00+00:00,ROLLOVER,balance_at_midnight=9639.82
2026-09-07 22:00:00+00:00,ROLLOVER,balance_at_midnight=9639.82
2026-09-08 22:00:00+00:00,ROLLOVER,balance_at_midnight=9613.37
2026-09-09 22:00:00+00:00,ROLLOVER,balance_at_midnight=9613.37
2026-09-10 22:00:00+00:00,ROLLOVER,balance_at_midnight=9613.37
2026-09-13 21:05:00+00:00,ROLLOVER,balance_at_midnight=9585.19
2026-09-13 22:00:00+00:00,ROLLOVER,balance_at_midnight=9585.19
2026-09-14 22:00:00+00:00,ROLLOVER,balance_at_midnight=9585.19
2026-09-15 22:00:00+00:00,ROLLOVER,balance_at_midnight=9553.29
2026-09-16 22:00:00+00:00,ROLLOVER,balance_at_midnight=9553.29
