idea_id,symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
m30-idea-1,GBPUSD,BUY,0.26,2015-01-02 08:00:00+00:00,1.5543200000000001,1.5534268480240798,1.55623,2015-01-02 08:32:00+00:00,1.5533768480240797,SL,False,-24.5220,1.3000,-25.8220,-1.0530
m30-idea-2,GBPUSD,BUY,0.18,2015-01-02 09:30:00+00:00,1.55184,1.5505074923866264,1.55488,2015-01-02 09:30:00+00:00,1.5504574923866263,SL,False,-24.8851,0.9000,-25.7851,-1.0362
m30-idea-3,GBPUSD,BUY,0.14,2015-01-02 12:00:00+00:00,1.5441900000000002,1.5425291958572092,1.5495,2015-01-02 12:07:00+00:00,1.542479195857209,SL,False,-23.9513,0.7000,-24.6513,-1.0292
m30-idea-4,GBPUSD,BUY,0.12,2015-01-02 13:00:00+00:00,1.5429700000000002,1.5410696688768795,1.548505,2015-01-02 14:06:00+00:00,1.5410196688768794,SL,False,-23.4040,0.6000,-24.0040,-1.0256
m30-idea-5,GBPUSD,BUY,0.12,2015-01-02 15:30:00+00:00,1.5404600000000002,1.5384424356189075,1.546975,2015-01-02 16:08:00+00:00,1.5383924356189074,SL,False,-24.8108,0.6000,-25.4108,-1.0242
m30-idea-6,EURUSD,BUY,0.23,2015-01-02 17:00:00+00:00,1.20161,1.200606369376735,1.203905,2015-01-02 17:11:00+00:00,1.200556369376735,SL,False,-24.2335,1.1500,-25.3835,-1.0475
m30-idea-8,GBPUSD,BUY,0.2,2015-01-02 17:30:00+00:00,1.53635,1.5351916082286445,1.5451899999999998,2015-01-02 18:54:00+00:00,1.5351416082286444,SL,False,-24.1678,1.0000,-25.1678,-1.0414
m30-idea-9,GBPUSD,BUY,0.39,2015-01-02 19:00:00+00:00,1.5356100000000001,1.535033448352162,1.5447449999999998,2015-01-02 19:26:00+00:00,1.5349834483521618,SL,False,-24.4355,1.9500,-26.3855,-1.0798
m30-idea-7,EURUSD,BUY,0.21,2015-01-02 17:30:00+00:00,1.20141,1.2002977001355397,1.20385,2015-01-02 20:07:00+00:00,1.2002477001355396,SL,False,-24.4083,1.0500,-25.4583,-1.0430
m30-idea-10,GBPUSD,BUY,0.25,2015-01-02 20:30:00+00:00,1.53349,1.5325775692528059,1.54054,2015-01-02 21:58:00+00:00,1.5325275692528058,SL,False,-24.0608,1.2500,-25.3108,-1.0520
m30-idea-11,GBPUSD,SELL,0.22,2015-01-05 08:30:00+00:00,1.53108,1.5321233198218873,1.525115,2015-01-05 12:00:00+00:00,1.525115,TP,False,131.2300,1.1000,130.1300,5.4101
m30-idea-12,EURUSD,BUY,0.14,2015-01-05 13:00:00+00:00,1.19022,1.188546979058957,1.19382,2015-01-05 15:21:00+00:00,1.19382,TP,False,50.4000,0.7000,49.7000,2.0603
m30-idea-13,EURUSD,SELL,0.16,2015-01-05 21:00:00+00:00,1.1936,1.195078092082364,1.191665,2015-01-06 01:30:00+00:00,1.19417,TIMEOUT_EXIT,False,-9.1200,0.8000,-9.9200,-0.4057
m30-idea-14,EURUSD,SELL,0.23,2015-01-06 03:00:00+00:00,1.19454,1.1955661225373189,1.19309,2015-01-06 05:22:00+00:00,1.195616122537319,SL,False,-24.7508,1.1500,-25.9008,-1.0465
m30-idea-16,EURUSD,SELL,0.8,2015-01-06 06:30:00+00:00,1.1957399999999998,1.1960011461007505,1.19426,2015-01-06 06:35:00+00:00,1.1960511461007506,SL,False,-24.8917,4.0000,-28.8917,-1.1607
m30-idea-15,GBPUSD,SELL,0.19,2015-01-06 03:00:00+00:00,1.5262399999999998,1.5274704663353198,1.5245950000000001,2015-01-06 07:30:00+00:00,1.52545,TIMEOUT_EXIT,False,15.0100,0.9500,14.0600,0.5779
m30-idea-17,EURUSD,BUY,0.32,2015-01-06 09:30:00+00:00,1.1926,1.19188621099701,1.1945350000000001,2015-01-06 09:37:00+00:00,1.19183621099701,SL,False,-24.4412,1.6000,-26.0412,-1.0655
m30-idea-18,EURUSD,BUY,0.18,2015-01-06 11:30:00+00:00,1.1899300000000002,1.1886357553958142,1.193205,2015-01-06 12:20:00+00:00,1.1885857553958141,SL,False,-24.1964,0.9000,-25.0964,-1.0372
m30-idea-19,EURUSD,BUY,0.2,2015-01-06 12:30:00+00:00,1.1894600000000002,1.1882652533770033,1.192825,2015-01-06 15:10:00+00:00,1.192825,TP,False,67.3000,1.0000,66.3000,2.6632
m30-idea-20,GBPUSD,BUY,0.2,2015-01-06 20:30:00+00:00,1.51591,1.51472963006857,1.517935,2015-01-06 21:09:00+00:00,1.5146796300685699,SL,False,-24.6074,1.0000,-25.6074,-1.0406
m30-idea-21,GBPUSD,BUY,0.12,2015-01-06 21:30:00+00:00,1.51593,1.5139857575591242,1.5177749999999999,2015-01-06 22:07:00+00:00,1.5139357575591241,SL,False,-23.9309,0.6000,-24.5309,-1.0251
m30-idea-22,EURUSD,SELL,0.08,2015-01-07 08:30:00+00:00,1.18688,1.189790501782998,1.186585,2015-01-07 08:47:00+00:00,1.186585,TP,False,2.3600,0.4000,1.9600,0.0828
m30-idea-23,GBPUSD,SELL,0.1,2015-01-07 08:30:00+00:00,1.51328,1.5156626077475643,1.51294,2015-01-07 08:48:00+00:00,1.51294,TP_GAP,False,3.4000,0.5000,2.9000,0.1192
m30-idea-24,GBPUSD,BUY,0.22,2015-01-07 09:00:00+00:00,1.5130400000000002,1.5119612928058332,1.513965,2015-01-07 09:15:00+00:00,1.513965,TP,False,20.3500,1.1000,19.2500,0.7752
m30-idea-26,GBPUSD,BUY,0.08,2015-01-07 10:30:00+00:00,1.51332,1.5104141426000057,1.5135200000000002,2015-01-07 10:38:00+00:00,1.5135200000000002,TP,False,1.6000,0.4000,1.2000,0.0507
m30-idea-25,EURUSD,BUY,0.16,2015-01-07 10:30:00+00:00,1.18615,1.1846520068090325,1.18742,2015-01-07 10:55:00+00:00,1.1846020068090324,SL,False,-24.7679,0.8000,-25.5679,-1.0323
m30-idea-27,EURUSD,BUY,0.18,2015-01-07 11:00:00+00:00,1.1852800000000001,1.183997292036959,1.18723,2015-01-07 11:34:00+00:00,1.18394,SL_GAP,False,-24.1200,0.9000,-25.0200,-1.0430
