idea_id,symbol,direction,lots,entry_time_utc,entry_price,sl,tp,exit_time_utc,exit_price,exit_reason,same_bar_ambiguous,gross_pnl_usd,commission_usd,net_pnl_usd,r_multiple_net
m30-idea-1,EURUSD,SELL,0.29,2026-07-16 08:00:00+00:00,1.14686,1.1476715612217807,1.14673,2026-07-16 08:05:00+00:00,1.14673,TP,False,3.7700,1.4500,2.3200,0.0929
m30-idea-2,GBPUSD,BUY,0.45,2026-07-16 09:00:00+00:00,1.3522800000000001,1.3517761460603896,1.35317,2026-07-16 09:07:00+00:00,1.3517261460603895,SL,False,-24.9234,2.2500,-27.1734,-1.0903
m30-idea-3,GBPUSD,BUY,0.58,2026-07-16 11:00:00+00:00,1.3505300000000002,1.3501496570082983,1.3522750000000001,2026-07-16 11:04:00+00:00,1.3500996570082981,SL,False,-24.9599,2.9000,-27.8599,-1.1162
m30-idea-4,EURUSD,BUY,0.56,2026-07-16 11:30:00+00:00,1.14616,1.1457649895645965,1.1467749999999999,2026-07-16 11:50:00+00:00,1.1457149895645964,SL,False,-24.9206,2.8000,-27.7206,-1.1124
m30-idea-6,EURUSD,BUY,0.15,2026-07-16 13:30:00+00:00,1.1459700000000002,1.1443734430694097,1.14616,2026-07-16 14:39:00+00:00,1.1443234430694096,SL,False,-24.6984,0.7500,-25.4484,-1.0304
m30-idea-5,GBPUSD,BUY,0.15,2026-07-16 12:00:00+00:00,1.3508800000000003,1.3492749185428692,1.351835,2026-07-16 14:51:00+00:00,1.349224918542869,SL,False,-24.8262,0.7500,-25.5762,-1.0302
m30-idea-7,EURUSD,BUY,0.36,2026-07-16 15:30:00+00:00,1.1442,1.1435587183857092,1.14581,2026-07-16 16:26:00+00:00,1.143508718385709,SL,False,-24.8861,1.8000,-26.6861,-1.0723
m30-idea-8,EURUSD,BUY,0.37,2026-07-16 17:30:00+00:00,1.1436600000000001,1.1430410883958309,1.14552,2026-07-16 22:00:00+00:00,1.1441,TIMEOUT_EXIT,False,16.2800,1.8500,14.4300,0.5830
m30-idea-9,GBPUSD,BUY,0.22,2026-07-16 17:30:00+00:00,1.3469000000000002,1.345845221872134,1.350365,2026-07-16 22:00:00+00:00,1.34712,TIMEOUT_EXIT,False,4.8400,1.1000,3.7400,0.1539
m30-idea-10,GBPUSD,BUY,0.38,2026-07-17 04:00:00+00:00,1.3467200000000001,1.3461241005002234,1.34711,2026-07-17 04:25:00+00:00,1.3460741005002232,SL,False,-24.5442,1.9000,-26.4442,-1.0774
